"qname","qtype","value"
"cdn.00000000ee4e0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000080320000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000000560000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000a3b40000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000639c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000007890000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000052230000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000004ba20000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000019770000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000009b250000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000f6940000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000863c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000002fb10000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000f5010000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000005c810000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000748e0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000004bac0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000004d5f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000008c210000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000de810000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000ce240000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000001dad0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000000a020000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000d2010000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000521e0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000c54c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000684c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000020bc0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000004a500000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000048820000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000f5710000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000fa890000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000dcb60000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000f0800000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000044140000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000074170000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000001d3c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000ff370000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000136e0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000012850000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000008a480000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000990d0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000e0a80000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000a3610000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000037110000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000fe1c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000004f300000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000003d640000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000007aa80000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000009c940000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000002e8f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000028020000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000006d040000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000db470000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000f4a80000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000075b30000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000f95d0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000001d390000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000074560000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000028570000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000b0120000010000000000.ns1.brownswer.com","1","8.8.8.8"
